iter	MultiClass
0	1.034695369
1	0.9872375511
2	0.9510629516
3	0.9227258047
4	0.900538196
5	0.8829953413
6	0.8698933603
7	0.8585399765
8	0.8360537756
9	0.8166907881
10	0.8013964286
11	0.7893829375
12	0.7794694036
13	0.7708506867
14	0.7616795671
15	0.7547816062
16	0.7502311364
17	0.745495856
18	0.7420097548
19	0.7392260823
20	0.7365877711
21	0.7344154092
22	0.7321520694
23	0.7305397329
24	0.7293816706
25	0.7283223108
26	0.7273514619
27	0.7266808684
28	0.7256148013
29	0.7246662251
30	0.7240973313
31	0.7235900135
32	0.7231256023
33	0.7226788189
34	0.7222287102
35	0.72172569
36	0.7211086295
37	0.7208596136
38	0.720317609
39	0.7194647144
40	0.7188287643
41	0.7179582205
42	0.7178787528
43	0.7177567764
44	0.7172827266
45	0.7168851707
46	0.7168468996
47	0.7163503254
48	0.7161397663
49	0.7158610447
50	0.7156056907
51	0.7152089325
52	0.7149293536
53	0.7147654925
54	0.7146285828
55	0.714380701
56	0.7142940598
57	0.7142125664
58	0.7135980358
59	0.7133374445
60	0.7132009803
61	0.7128606511
62	0.7125612549
63	0.7121530727
64	0.7118648724
65	0.7117198392
66	0.7115097716
67	0.7113691835
68	0.7109971759
69	0.7108661195
70	0.7107150623
71	0.710584915
72	0.7101686502
73	0.7100253094
74	0.7099119876
75	0.7096054394
76	0.7095580114
77	0.7092596108
78	0.708677483
79	0.7084493698
80	0.7081657724
81	0.708026979
82	0.707844603
83	0.7077724746
84	0.7076871037
85	0.7075725537
86	0.7073328622
87	0.7071869438
88	0.7069546947
89	0.7067352376
90	0.7064485726
91	0.706308247
92	0.705782995
93	0.7054408878
94	0.7050895295
95	0.7049320508
96	0.704786486
97	0.7045252694
98	0.7044724335
99	0.704354579
100	0.7039907563
101	0.7037062743
102	0.7035255152
103	0.7033562341
104	0.7031849399
105	0.7029610163
106	0.7028834118
107	0.7026558544
108	0.7025059344
109	0.7023465448
110	0.7022943499
111	0.7021210898
112	0.702041211
113	0.7017721559
114	0.7017200975
115	0.7016633179
116	0.701488116
117	0.7013994724
118	0.7011715829
119	0.7010422431
120	0.7008157952
121	0.7006724753
122	0.7004986239
123	0.7001274432
124	0.7000603551
125	0.6997086331
126	0.6996449795
127	0.6995925157
128	0.699420438
129	0.6993246934
130	0.6989641587
131	0.6988000688
132	0.6986531788
133	0.6985363807
134	0.6982069474
135	0.6980556226
136	0.6979060816
137	0.6977388836
138	0.6975191775
139	0.6972311247
140	0.6971037003
141	0.697051124
142	0.6967981754
143	0.6966213304
144	0.6965233295
145	0.6963960733
146	0.6961841936
147	0.6961330582
148	0.6960194097
149	0.6958952665
150	0.6956897027
151	0.6954602336
152	0.6953107517
153	0.6952540814
154	0.695037599
155	0.6949942805
156	0.694818812
157	0.6946771521
158	0.6944610101
159	0.6941598184
160	0.6939500783
161	0.693876008
162	0.6937939472
163	0.6936035619
164	0.69341363
165	0.6933258425
166	0.6931576681
167	0.692777229
168	0.6925889548
169	0.6925575164
170	0.6923714682
171	0.6921902739
172	0.6921493469
173	0.6917801088
174	0.6915322919
175	0.6913327837
176	0.6912240064
177	0.6911233235
178	0.6907865791
179	0.6905217891
180	0.6903551384
181	0.6902632101
182	0.6901321711
183	0.6898309353
184	0.6896009474
185	0.6894143277
186	0.6892472824
187	0.6891060344
188	0.6887872377
189	0.6886344073
190	0.6884570718
191	0.6882381194
192	0.6881170772
193	0.6880468496
194	0.687758368
195	0.6877081374
196	0.6872396828
197	0.6870854591
198	0.6870243783
199	0.6867496406
200	0.6866462021
201	0.686397999
202	0.6862409876
203	0.6861456591
204	0.6861050882
205	0.6860257717
206	0.6857489922
207	0.6856459035
208	0.685452434
209	0.6853515707
210	0.6852308752
211	0.6848914913
212	0.6848115735
213	0.6847815164
214	0.6846771568
215	0.6845820009
216	0.6844466493
217	0.6842643691
218	0.6841299978
219	0.6839123303
220	0.6835659267
221	0.6834976921
222	0.6833566395
223	0.6831337386
224	0.6829039029
225	0.6826714239
226	0.682558072
227	0.6822252051
228	0.6820322354
229	0.6819002835
230	0.6817623625
231	0.6813950407
232	0.6812147841
233	0.6808292303
234	0.680582583
235	0.6803828698
236	0.6801096858
237	0.6800370006
238	0.6799009507
239	0.6797344982
240	0.6796761651
241	0.679347751
242	0.6792445285
243	0.6791242153
244	0.6789206213
245	0.6787309558
246	0.6785231775
247	0.6783642084
248	0.6783006173
249	0.6781994453
250	0.6778860752
251	0.6777740115
252	0.6776359927
253	0.6774899314
254	0.6773289769
255	0.6772754098
256	0.676899543
257	0.6767904112
258	0.6763842376
259	0.6761675866
260	0.6759193551
261	0.6758075391
262	0.6757256177
263	0.6754792156
264	0.6753695426
265	0.675181766
266	0.6751024218
267	0.6749138631
268	0.6748003461
269	0.6746705709
270	0.6746238949
271	0.6745351484
272	0.6744679327
273	0.6741609612
274	0.6739875903
275	0.673957497
276	0.6737849667
277	0.6734733847
278	0.6734180623
279	0.6731245745
