iter	Passed	Remaining
0	42	21321
1	78	19551
2	112	18692
3	150	18682
4	188	18628
5	225	18556
6	276	19504
7	317	19541
8	356	19424
9	398	19503
10	436	19397
11	476	19363
12	495	18575
13	516	17945
14	562	18182
15	601	18189
16	641	18226
17	681	18243
18	723	18328
19	764	18336
20	802	18309
21	842	18300
22	883	18317
23	927	18390
24	970	18443
25	1017	18544
26	1066	18682
27	1117	18845
28	1181	19188
29	1257	19698
30	1335	20202
31	1409	20611
32	1485	21020
33	1563	21423
34	1641	21811
35	1727	22262
36	1798	22503
37	1883	22901
38	1951	23061
39	1982	22796
40	2050	22958
41	2091	22804
42	2133	22671
43	2178	22573
44	2239	22646
45	2309	22791
46	2409	23221
47	2482	23374
48	2518	23181
49	2594	23352
50	2675	23558
51	2756	23750
52	2837	23929
53	2930	24207
54	3020	24437
55	3089	24498
56	3159	24559
57	3230	24622
58	3301	24677
59	3375	24756
60	3450	24835
61	3519	24866
62	3595	24942
63	3664	24965
64	3724	24925
65	3798	24977
66	3868	25002
67	3934	24996
68	4006	25023
69	4056	24918
70	4139	25012
71	4221	25091
72	4298	25140
73	4387	25258
74	4487	25431
75	4577	25538
76	4611	25334
77	4657	25195
78	4700	25047
79	4741	24890
80	4782	24738
81	4823	24588
82	4870	24470
83	4962	24575
84	5030	24562
85	5100	24555
86	5149	24446
87	5188	24293
88	5234	24175
89	5317	24222
90	5399	24270
91	5493	24364
92	5583	24435
93	5674	24508
94	5737	24460
95	5835	24557
96	5909	24552
97	5976	24514
98	6007	24332
99	6074	24299
100	6143	24270
101	6185	24137
102	6270	24168
103	6342	24150
104	6402	24086
105	6475	24069
106	6544	24037
107	6623	24039
108	6708	24065
109	6801	24114
110	6891	24152
111	6969	24145
112	7051	24148
113	7140	24175
114	7227	24195
115	7312	24206
116	7406	24246
117	7472	24189
118	7561	24208
119	7576	23991
120	7616	23857
121	7656	23723
122	7697	23592
123	7737	23462
124	7777	23331
125	7822	23219
126	7863	23095
127	7902	22966
128	7956	22882
129	8039	22881
130	8122	22878
131	8207	22880
132	8291	22880
133	8377	22882
134	8468	22896
135	8551	22886
136	8626	22855
137	8710	22849
138	8787	22822
139	8858	22778
140	8944	22773
141	9028	22761
142	9115	22757
143	9202	22751
144	9285	22734
145	9369	22717
146	9455	22705
147	9549	22712
148	9625	22675
149	9700	22634
150	9771	22584
151	9837	22522
152	9908	22472
153	9980	22424
154	10063	22398
155	10131	22341
156	10216	22320
157	10288	22270
158	10386	22274
159	10469	22247
160	10542	22197
161	10618	22155
162	10694	22109
163	10779	22084
164	10856	22042
165	10940	22012
166	11027	21988
167	11120	21975
168	11163	21865
169	11216	21773
170	11288	21719
171	11359	21661
172	11428	21602
173	11504	21555
174	11572	21491
175	11643	21434
176	11712	21373
177	11800	21347
178	11869	21286
179	11940	21226
180	12009	21165
181	12077	21101
182	12149	21046
183	12221	20988
184	12292	20930
185	12362	20870
186	12436	20815
187	12514	20768
188	12612	20753
189	12697	20717
190	12782	20679
191	12878	20659
192	12921	20554
193	12966	20451
194	13019	20363
195	13078	20285
196	13154	20231
197	13225	20172
198	13298	20114
199	13366	20049
200	13436	19987
201	13506	19926
202	13577	19864
203	13658	19818
204	13733	19762
205	13801	19697
206	13869	19631
207	13940	19569
208	14009	19506
209	14080	19444
210	14160	19395
211	14240	19346
212	14321	19297
213	14402	19248
214	14483	19199
215	14563	19148
216	14646	19101
217	14720	19042
218	14798	18988
219	14873	18929
220	14942	18863
221	15011	18798
222	15082	18735
223	15156	18675
224	15228	18612
225	15299	18548
226	15390	18509
227	15484	18472
228	15573	18430
229	15684	18412
230	15759	18352
231	15845	18304
232	15928	18253
233	16000	18188
234	16076	18129
235	16172	18091
236	16231	18012
237	16272	17913
238	16333	17837
239	16380	17745
240	16426	17653
241	16481	17570
242	16536	17488
243	16596	17412
244	16688	17369
245	16778	17323
246	16869	17278
247	16954	17228
248	17031	17168
249	17107	17107
250	17179	17042
251	17249	16975
252	17322	16911
253	17391	16843
254	17470	16785
255	17551	16728
256	17631	16670
257	17707	16609
258	17793	16556
259	17875	16500
