iter	Passed	Remaining
0	115	115748
1	211	105747
2	246	81999
3	335	83506
4	423	84292
5	507	83999
6	534	75845
7	602	74771
8	726	80023
9	813	80513
10	872	78482
11	950	78238
12	1006	76420
13	1100	77501
14	1174	77139
15	1263	77710
16	1311	75817
17	1410	76974
18	1489	76887
19	1571	77026
20	1649	76876
21	1743	77491
22	1828	77654
23	1919	78073
24	2009	78357
25	2114	79203
26	2212	79728
27	2313	80308
28	2408	80659
29	2502	80928
30	2574	80471
31	2683	81164
32	2809	82324
33	2950	83834
34	3082	84983
35	3193	85522
36	3324	86537
37	3434	86946
38	3566	87883
39	3669	88059
40	3795	88783
41	3939	89851
42	4074	90683
43	4212	91536
44	4321	91707
45	4432	91932
46	4536	91977
47	4654	92323
48	4752	92242
49	4854	92231
50	4960	92310
51	5069	92426
52	5168	92344
53	5262	92188
54	5353	91984
55	5461	92062
56	5557	91944
57	5670	92089
58	5772	92071
59	5876	92069
60	5979	92052
61	6078	91962
62	6194	92133
63	6297	92104
64	6407	92171
65	6516	92224
66	6610	92056
67	6710	91973
68	6819	92009
69	6909	91802
70	7013	91767
71	7121	91787
72	7214	91611
73	7307	91436
74	7388	91128
75	7480	90950
76	7509	90021
77	7617	90047
78	7711	89904
79	7807	89789
80	7890	89525
81	7987	89424
82	8099	89484
83	8185	89259
84	8282	89154
85	8381	89081
86	8475	88947
87	8599	89117
88	8697	89028
89	8800	88985
90	8897	88879
91	8995	88785
92	9102	88772
93	9195	88625
94	9291	88511
95	9379	88324
96	9466	88128
97	9565	88046
98	9695	88238
99	9793	88138
100	9899	88112
101	10021	88232
102	10122	88154
103	10241	88230
104	10350	88224
105	10435	88011
106	10524	87834
107	10641	87891
108	10734	87746
109	10840	87709
110	10924	87494
111	11051	87621
112	11139	87437
113	11238	87343
114	11324	87152
115	11414	86985
116	11501	86800
117	11601	86718
118	11730	86845
119	11820	86680
120	11909	86518
121	12011	86443
122	12113	86369
123	12198	86175
124	12291	86039
125	12387	85927
126	12481	85800
127	12607	85885
128	12717	85866
129	12812	85746
130	12911	85646
131	13024	85645
132	13161	85798
133	13258	85685
134	13373	85688
135	13490	85705
136	13592	85625
137	13692	85526
138	13790	85423
139	13892	85339
140	14001	85302
141	14119	85313
142	14229	85275
143	14313	85085
144	14416	85005
145	14548	85096
146	14659	85062
147	14744	84878
148	14862	84884
149	14954	84741
150	15046	84596
151	15141	84472
152	15241	84378
153	15335	84245
154	15427	84103
155	15505	83887
156	15600	83764
157	15677	83546
158	15765	83389
159	15859	83261
160	15952	83132
161	16040	82975
162	16136	82858
163	16230	82738
164	16338	82682
165	16455	82675
166	16589	82750
167	16696	82688
168	16801	82617
169	16891	82471
170	16990	82369
171	17092	82284
172	17187	82164
173	17281	82038
174	17372	81899
175	17473	81809
176	17553	81617
177	17645	81487
178	17749	81411
179	17836	81255
180	17939	81175
181	18031	81043
182	18130	80943
183	18235	80870
184	18346	80822
185	18446	80728
186	18546	80633
187	18645	80534
188	18761	80507
189	18896	80557
190	19026	80590
191	19160	80635
192	19275	80595
193	19379	80515
194	19478	80409
195	19592	80371
196	19709	80337
197	19828	80315
198	19975	80403
199	20078	80315
200	20206	80323
201	20323	80289
202	20452	80298
203	20606	80406
204	20721	80360
205	20835	80307
206	20957	80284
207	21094	80322
208	21211	80278
209	21342	80286
210	21464	80262
211	21582	80223
212	21699	80176
213	21804	80085
214	21914	80014
215	22029	79958
216	22139	79887
217	22244	79794
218	22350	79706
219	22456	79619
220	22560	79522
221	22664	79429
222	22789	79404
223	22938	79464
224	23084	79514
225	23211	79493
226	23327	79436
227	23431	79339
228	23544	79269
229	23654	79190
230	23789	79194
231	23906	79138
232	24018	79065
233	24117	78948
234	24213	78822
235	24308	78693
236	24411	78592
237	24519	78502
238	24639	78454
239	24747	78367
240	24837	78221
241	24926	78076
242	25029	77972
243	25126	77851
244	25210	77690
245	25312	77582
246	25426	77514
247	25514	77365
248	25604	77225
249	25710	77131
250	25805	77006
251	25914	76921
252	26014	76809
253	26113	76695
254	26231	76636
255	26358	76603
256	26460	76498
257	26561	76389
258	26656	76263
259	26768	76187
260	26846	76014
261	26957	75933
262	27068	75852
263	27169	75744
264	27297	75711
265	27395	75596
266	27480	75443
267	27564	75288
268	27659	75165
269	27789	75135
270	27929	75131
271	28054	75086
272	28167	75010
273	28275	74920
274	28394	74857
275	28498	74757
276	28616	74693
277	28732	74620
278	28846	74547
279	28950	74444
