iter	Passed	Remaining
0	5	118334
1	10	108518
2	15	104839
3	21	105974
4	25	103512
5	37	123411
6	41	117684
7	46	116906
8	51	114600
9	56	112301
10	61	111597
11	66	110049
12	70	108280
13	75	108451
14	80	107336
15	85	106472
16	90	106584
17	95	105481
18	99	105062
19	105	105200
20	109	104488
21	114	104065
22	119	103969
23	124	103799
24	129	103448
25	134	103283
26	138	102686
27	144	102866
28	149	102720
29	153	102157
30	159	102495
31	163	102017
32	167	101548
33	172	101131
34	177	101318
35	182	101467
36	188	101604
37	193	101468
38	198	101496
39	203	101592
40	208	101311
41	212	100999
42	217	101168
43	223	101450
44	229	101588
45	233	101429
46	238	101093
47	242	100778
48	248	101029
49	252	100809
50	257	100531
51	263	100984
52	302	113980
53	307	113578
54	328	119225
55	331	118014
56	333	116588
57	335	115250
58	337	114038
59	339	112925
60	342	111827
61	344	110915
62	347	110116
63	350	109235
64	353	108398
65	356	107549
66	358	106558
67	360	105650
68	363	104921
69	365	104016
70	367	103232
71	370	102421
72	372	101662
73	374	100881
74	377	100293
75	380	99723
76	383	99268
77	386	98661
78	389	98147
79	392	97618
80	394	97022
81	397	96511
82	399	95920
83	402	95499
84	405	94941
85	407	94400
86	410	93885
87	413	93481
88	415	93034
89	418	92566
90	421	92125
91	423	91653
92	426	91310
93	429	90916
94	432	90609
95	435	90202
96	437	89809
97	440	89510
98	443	89125
99	446	88835
100	448	88437
101	451	88011
102	453	87588
103	455	87217
104	458	86838
105	461	86567
106	463	86237
107	466	85919
108	470	85864
109	473	85625
110	476	85410
111	479	85207
112	482	84943
113	485	84765
114	488	84525
115	491	84284
116	494	84070
117	497	83802
118	500	83584
119	503	83393
120	505	83108
121	508	82820
122	510	82556
123	514	82390
124	516	82131
125	519	81880
126	521	81671
127	524	81434
128	527	81258
129	530	81048
130	532	80798
131	535	80544
132	537	80345
133	540	80167
134	543	80012
135	546	79804
136	549	79603
137	551	79403
138	554	79223
139	557	79052
140	559	78848
141	562	78644
142	564	78445
143	567	78256
144	570	78133
145	573	77957
146	575	77756
147	578	77590
148	581	77429
149	583	77270
150	586	77050
151	588	76878
152	591	76702
153	593	76477
154	595	76280
155	598	76082
156	600	75888
157	602	75711
158	605	75540
159	607	75308
160	609	75116
161	612	74951
162	614	74754
163	616	74574
164	618	74410
165	621	74218
166	623	74090
167	626	73973
168	629	73885
169	632	73792
170	635	73658
171	637	73500
172	640	73360
173	643	73334
174	646	73261
175	649	73122
176	651	72989
177	654	72860
178	657	72782
179	660	72706
180	663	72603
181	665	72500
182	668	72399
183	671	72360
184	674	72243
185	677	72159
186	680	72050
187	682	71925
188	685	71855
189	687	71731
190	690	71633
191	693	71521
192	695	71428
193	698	71300
194	701	71253
195	704	71137
196	706	71022
197	709	70910
198	712	70849
199	715	70844
200	718	70744
201	720	70657
202	723	70542
203	726	70477
204	729	70421
205	731	70313
206	734	70210
207	737	70137
208	739	70071
209	742	69991
210	745	69918
211	748	69825
212	750	69726
213	753	69661
214	756	69570
215	759	69524
216	761	69433
217	764	69349
218	766	69262
219	769	69183
220	772	69139
221	775	69062
222	777	68982
223	780	68948
224	783	68870
225	786	68839
226	789	68774
227	792	68706
228	794	68632
229	797	68551
230	800	68480
231	803	68425
232	805	68354
233	808	68281
234	811	68213
235	813	68121
236	816	68078
237	818	68002
238	821	67947
239	824	67876
240	826	67796
241	830	67766
242	833	67744
243	836	67690
244	838	67620
245	841	67565
246	844	67535
247	847	67488
248	849	67417
249	852	67350
250	854	67267
251	857	67197
252	860	67187
253	863	67119
254	866	67056
255	868	66998
256	871	66915
257	874	66887
258	877	66854
259	879	66799
260	882	66745
261	885	66702
262	888	66679
263	891	66610
264	893	66568
265	896	66532
266	899	66482
267	903	66485
268	905	66440
269	908	66387
270	911	66341
271	914	66323
272	917	66288
273	920	66237
274	922	66181
275	925	66112
276	927	66071
277	930	66023
278	933	65958
279	935	65908
280	938	65865
281	941	65805
282	943	65749
283	946	65697
284	948	65640
285	951	65592
286	954	65555
287	957	65509
288	959	65467
289	962	65429
290	965	65358
291	967	65320
292	970	65273
293	973	65227
294	975	65179
295	978	65144
296	981	65103
297	983	65044
298	986	64986
299	988	64939
300	991	64881
301	994	64840
302	996	64793
303	999	64738
304	1002	64702
305	1004	64633
306	1006	64555
307	1008	64488
308	1011	64450
309	1014	64416
310	1016	64380
311	1019	64349
312	1022	64306
313	1025	64271
314	1027	64226
315	1030	64184
316	1033	64168
317	1036	64128
318	1038	64086
319	1041	64045
320	1044	64003
321	1046	63974
322	1049	63945
323	1052	63899
324	1054	63862
325	1057	63826
326	1060	63802
327	1063	63763
328	1065	63729
329	1068	63697
330	1071	63659
331	1074	63655
332	1077	63644
333	1080	63595
334	1082	63555
335	1085	63520
336	1088	63488
337	1090	63441
338	1093	63410
339	1096	63379
340	1098	63342
341	1102	63389
342	1108	63510
343	1113	63624
344	1116	63631
345	1120	63671
346	1124	63679
347	1127	63654
348	1130	63663
349	1133	63660
350	1137	63649
351	1139	63609
352	1142	63573
353	1144	63540
354	1147	63524
355	1150	63486
356	1153	63481
357	1156	63431
358	1159	63414
359	1162	63411
360	1165	63389
361	1168	63371
362	1170	63340
363	1173	63314
364	1177	63319
365	1179	63269
366	1181	63212
367	1184	63176
368	1186	63138
369	1190	63143
370	1192	63112
371	1195	63096
372	1198	63071
373	1201	63033
374	1204	63024
375	1207	63000
376	1209	62955
377	1211	62910
378	1214	62856
379	1216	62808
380	1222	62931
381	1224	62887
382	1227	62853
383	1229	62791
384	1231	62744
385	1234	62710
386	1236	62652
387	1238	62620
388	1241	62587
389	1243	62543
390	1246	62500
391	1250	62527
392	1252	62495
393	1255	62460
394	1258	62444
395	1260	62415
396	1263	62409
397	1266	62383
398	1269	62355
399	1271	62319
400	1274	62283
401	1277	62294
402	1280	62264
403	1282	62226
404	1285	62193
405	1288	62164
406	1290	62121
407	1293	62123
408	1296	62095
409	1298	62066
410	1302	62056
411	1303	61995
412	1307	61994
413	1310	61987
414	1312	61956
415	1315	61946
416	1318	61924
417	1321	61905
418	1324	61879
419	1326	61853
420	1329	61830
421	1332	61811
422	1335	61797
423	1337	61773
424	1340	61745
425	1343	61729
426	1346	61712
427	1348	61684
428	1351	61667
429	1354	61645
430	1357	61632
431	1360	61606
432	1362	61582
433	1365	61567
434	1368	61540
435	1370	61516
436	1373	61487
437	1375	61452
438	1379	61451
439	1381	61424
440	1384	61409
441	1387	61380
442	1389	61351
443	1392	61335
444	1395	61328
445	1398	61318
446	1401	61297
447	1403	61263
448	1406	61243
449	1410	61263
450	1412	61243
451	1415	61210
452	1417	61170
453	1420	61141
454	1423	61161
455	1426	61126
456	1428	61104
457	1431	61086
458	1434	61057
459	1437	61051
460	1440	61033
461	1442	61014
462	1445	60992
463	1448	60987
464	1451	60979
465	1454	60955
466	1456	60939
467	1459	60922
468	1463	60934
469	1466	60928
470	1468	60897
471	1471	60864
472	1473	60832
473	1476	60814
474	1478	60790
475	1481	60779
476	1484	60770
477	1487	60739
478	1489	60720
479	1492	60704
480	1495	60695
481	1498	60676
482	1501	60656
483	1503	60638
484	1506	60614
485	1509	60598
486	1511	60568
487	1514	60546
488	1516	60522
489	1519	60499
490	1522	60477
491	1525	60471
492	1527	60454
493	1536	60653
494	1540	60712
495	1543	60686
496	1546	60671
497	1548	60645
498	1551	60622
499	1554	60630
500	1557	60618
501	1560	60607
502	1563	60596
503	1565	60568
504	1569	60577
505	1572	60587
506	1575	60566
507	1577	60547
508	1580	60535
509	1584	60541
510	1587	60543
511	1589	60519
512	1593	60513
513	1595	60496
514	1599	60498
515	1601	60478
516	1604	60448
517	1606	60430
518	1609	60399
519	1612	60413
520	1615	60398
521	1618	60375
522	1620	60355
523	1623	60338
524	1626	60353
525	1630	60349
526	1633	60349
527	1636	60344
528	1640	60370
529	1643	60359
530	1645	60339
531	1648	60316
532	1651	60312
533	1654	60302
534	1657	60288
535	1659	60262
536	1662	60245
537	1664	60228
538	1668	60227
539	1671	60221
540	1673	60207
541	1676	60195
542	1679	60184
543	1682	60184
544	1685	60168
545	1688	60143
546	1690	60120
547	1693	60118
548	1696	60113
549	1699	60100
550	1702	60087
551	1704	60066
552	1707	60045
553	1710	60031
554	1713	60018
555	1715	59997
556	1718	59988
557	1721	59967
558	1723	59945
559	1726	59942
560	1729	59918
561	1731	59901
562	1734	59891
563	1737	59886
564	1740	59875
565	1743	59861
566	1746	59844
567	1748	59821
568	1751	59803
569	1754	59805
570	1757	59802
571	1760	59790
572	1762	59768
573	1765	59753
574	1768	59733
575	1771	59725
576	1774	59726
577	1777	59711
578	1779	59691
579	1781	59665
580	1784	59657
581	1787	59645
582	1790	59627
583	1792	59605
584	1795	59582
585	1798	59579
586	1801	59570
587	1803	59555
588	1806	59538
589	1809	59524
590	1812	59521
591	1815	59510
592	1817	59493
593	1820	59474
594	1823	59455
595	1825	59434
596	1828	59428
597	1831	59420
598	1833	59400
599	1836	59379
600	1839	59388
601	1842	59380
602	1845	59364
603	1848	59349
604	1850	59331
605	1853	59309
606	1856	59313
607	1859	59294
608	1861	59276
609	1864	59251
610	1867	59246
611	1870	59247
612	1872	59233
613	1875	59214
614	1878	59198
615	1881	59193
616	1884	59188
617	1886	59165
618	1888	59140
